OBJECTID_1,OBJECTID,NUMBER0,SYSTEM_NAM,TINWSYS_LO,OWNER_TYPE,D_PRIN_CIT,D_PRIN_CNT,D_FED_PRIM,D_POPULATI,D_TTL_STOR,ST_ASGN_ID,D_PWS_FED_,TINWSF_IS_,FACILITY_N,TINWSF_LOC,FACILITY_T,WATER_TYPE,AVAILABILI,LAT,LON,HORIZ_REF_,DATA_COLLE,DEPTH_OF_W,DEPTH_OF_1,WELL_DIAME,WELL_DIA_1,STATIC_WAT,STATIC_W_1,OFFICE,OVERSIGHT,ACTIVE,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,impact,impact_dis,impact_eph,impact_e,impact_d,impact_de
"26","187",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319002",C,12177.00000000000,BONITO LAKE,,RS,SW,P,33.45570800000,-105.73136000000,"003",2004/09/24,0.00000000000,,0.00000000000,,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"0",0.50000000000,"25",5055.88422331000,2033845.44375000009,"1","1","1","1","1",
"27","188",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319017",C,12196.00000000000,ALAMO-HOLLOMAN BOOSTER STATION & CC,,CH,SW,P,32.87236100000,-105.96586100000,"003",2008/03/12,0.00000000000,,0.00000000000,,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"0",0.50000000000,"26",5055.84635133000,2033845.47879999992,"1","0","1","1","0","1"
"28","189",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319074",C,10668.00000000000,BONITO LAKE INTAKE,,IN,SW,P,33.45570800000,-105.73136100000,"003",2004/08/26,0.00000000000,,0.00000000000,,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"0",0.50000000000,"27",5055.88419829000,2033845.42326999991,"1","1","1","1","1",
"29","197",NM3590024,NAVAJO LAKE STATE PARK - COTTONWOOD CAMP,,S,NAVAJO DAM,SAN JUAN,GU,200.00000000000,43750.00000000000,"90024001",NC,8941.00000000000,INFILTRATION GALLERY # 1,,IG,GU,P,36.80800000000,-107.67799000000,"003",2020/01/15,0.00000000000,,0.00000000000,,0.00000000000,,SANTA FE AREA OFFICE,JAMES JONES,"-1",0.50000000000,"28",5056.05120326000,2033845.42799000000,"1","0","1","1","0","1"
"30","198",NM3590024,NAVAJO LAKE STATE PARK - COTTONWOOD CAMP,,S,NAVAJO DAM,SAN JUAN,GU,200.00000000000,43750.00000000000,"90024003",NC,9477.00000000000,WELL #1,,WL,GW,E,36.80861100000,-107.67638900000,"003",2003/10/06,46.00000000000,FT,6.00000000000,IN,28.00000000000,FT,SANTA FE AREA OFFICE,JAMES JONES,"0",0.50000000000,"29",5056.05121522000,2033845.42577000009,"1","0","1","1","0","1"
"31","224",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000000,8100000.00000000000,"18025002",C,2566.00000000000,WELL #2,,WL,GW,P,35.56741300000,-105.24708300000,"003",,744.00000000000,FT,0.00000000000,,0.00000000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"-1",0.50000000000,"30",5056.00682411000,2033845.44072000007,"1","0","1","1","0","1"
"32","225",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000000,8100000.00000000000,"18025003",C,2567.00000000000,WELL #4,TYLER WELL #4,WL,GW,P,35.56295600000,-105.24772600000,"003",,829.00000000000,FT,16.00000000000,IN,80.00000000000,FT,SANTA FE AREA OFFICE,SF FRANK BACA,"-1",0.50000000000,"31",5056.00661483000,2033845.43909000000,"1","0","1","1","0","1"
"33","226",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000000,8100000.00000000000,"18025022",C,14078.00000000000,PETERSON RESERVOIR,,RS,SW,P,35.64984400000,-105.27942500000,"003",2018/02/12,0.00000000000,,0.00000000000,,0.00000000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"-1",0.50000000000,"32",5056.01054489000,2033845.40296000009,"1","0","1","1","0","1"
"34","227",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000000,8100000.00000000000,"18025013",C,10869.00000000000,SETTLING BASIN - GALLINAS RIVER DIV. DAM,,RS,SW,P,35.65007500000,-105.30922500000,"003",2014/09/23,0.00000000000,,0.00000000000,,0.00000000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"-1",0.50000000000,"33",5056.01059228000,2033845.43323999993,"1","0","1","1","0","1"
"35","228",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000000,8100000.00000000000,"18025001",C,7013.00000000000,GALLINAS RIVER DIVERSION DAM INTAKE,,IN,SW,P,35.64985000000,-105.31655800000,"003",2014/09/23,0.00000000000,,0.00000000000,,0.00000000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"-1",0.50000000000,"34",5056.01062496000,2033845.46754000010,"1","0","1","1","0","1"
