OBJECTID,NUMBER0,SYSTEM_NAM,TINWSYS_LO,OWNER_TYPE,D_PRIN_CIT,D_PRIN_CNT,D_FED_PRIM,D_POPULATI,D_TTL_STOR,ST_ASGN_ID,D_PWS_FED_,TINWSF_IS_,FACILITY_N,TINWSF_LOC,FACILITY_T,WATER_TYPE,AVAILABILI,LAT,LON,HORIZ_REF_,DATA_COLLE,DEPTH_OF_W,DEPTH_OF_1,WELL_DIAME,WELL_DIA_1,STATIC_WAT,STATIC_W_1,OFFICE,OVERSIGHT,ACTIVE
"2613",NM3510701,ALBUQUERQUE WATER SYSTEM,,L,ALBUQUERQUE,BERNALILLO,SW,659736.00000000,92894000.00000000,"10701065",C,2281.00000000,SAN JOSE WELL # 3,,WL,GW,P,35.06196700,-106.65090300,"003",2002/02/05,0.00000000,,0.00000000,,73.00000000,FT,SANTA FE AREA OFFICE,WAYNE JEFFS,"0"
"2614",NM3510701,ALBUQUERQUE WATER SYSTEM,,L,ALBUQUERQUE,BERNALILLO,SW,659736.00000000,92894000.00000000,"10701184",C,12891.00000000,CORRALES WELL #02,,WL,GW,P,35.20489500,-106.70398200,"003",2002/02/05,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,WAYNE JEFFS,"0"
"2615",NM3510701,ALBUQUERQUE WATER SYSTEM,,L,ALBUQUERQUE,BERNALILLO,SW,659736.00000000,92894000.00000000,"10701009",C,2226.00000000,CANDELARIA WELL # 3,,WL,GW,P,35.11867400,-106.63477400,"003",2002/02/05,310.00000000,FT,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,WAYNE JEFFS,"0"
"2616",NM3510701,ALBUQUERQUE WATER SYSTEM,,L,ALBUQUERQUE,BERNALILLO,SW,659736.00000000,92894000.00000000,"10701063",C,2279.00000000,SAN JOSE WELL # 1,,WL,GW,P,35.05459700,-106.64734000,"003",2002/02/05,0.00000000,,0.00000000,,44.00000000,FT,SANTA FE AREA OFFICE,WAYNE JEFFS,"0"
"2617",NM3510701,ALBUQUERQUE WATER SYSTEM,,L,ALBUQUERQUE,BERNALILLO,SW,659736.00000000,92894000.00000000,"10701179",C,12628.00000000,SJC CLEAR WELLS,,CW,SW,P,35.14353800,-106.61203800,"003",2009/02/11,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,WAYNE JEFFS,"0"
"2618",NM3510701,ALBUQUERQUE WATER SYSTEM,,L,ALBUQUERQUE,BERNALILLO,SW,659736.00000000,92894000.00000000,"10701088",C,2303.00000000,WEBSTER WELL # 2,,WL,GW,E,35.17017200,-106.56012700,"003",2002/02/05,0.00000000,,0.00000000,,488.00000000,FT,SANTA FE AREA OFFICE,WAYNE JEFFS,"0"
"2619",NM3510701,ALBUQUERQUE WATER SYSTEM,,L,ALBUQUERQUE,BERNALILLO,SW,659736.00000000,92894000.00000000,"10701092",C,2307.00000000,WEST MESA WELL # 4,,WL,GW,E,35.08003600,-106.72281100,"003",2002/02/05,0.00000000,,0.00000000,,225.00000000,FT,SANTA FE AREA OFFICE,WAYNE JEFFS,"0"
"2620",NM3510701,ALBUQUERQUE WATER SYSTEM,,L,ALBUQUERQUE,BERNALILLO,SW,659736.00000000,92894000.00000000,"10701086",C,2301.00000000,WALKER WELL # 2,,WL,GW,E,35.17322700,-106.53725500,"003",2002/02/05,0.00000000,,0.00000000,,698.00000000,FT,SANTA FE AREA OFFICE,WAYNE JEFFS,"0"
"2621",NM3510701,ALBUQUERQUE WATER SYSTEM,,L,ALBUQUERQUE,BERNALILLO,SW,659736.00000000,92894000.00000000,"10701010",C,2227.00000000,CANDELARIA WELL # 4,,WL,GW,P,35.11823200,-106.63957300,"003",2002/02/05,296.00000000,FT,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,WAYNE JEFFS,"0"
"2622",NM3510701,ALBUQUERQUE WATER SYSTEM,,L,ALBUQUERQUE,BERNALILLO,SW,659736.00000000,92894000.00000000,"10701015",C,2232.00000000,COLLEGE WELL # 1,,WL,GW,P,35.11143400,-106.74308300,"003",2002/02/05,1662.00000000,FT,0.00000000,,436.00000000,FT,SANTA FE AREA OFFICE,WAYNE JEFFS,"0"
